,Provincia,Sexo,Periodo,Life Expectancy,Health index,CCAA,Expected years of schooling index,Mean years of schooling,Mean years of schooling index,Education index,PIB (M EUR),PIB per capita (EUR),PIB per capita (2011 USD),Income index,Human Develpment Index
0,Albacete,Ambos sexos,2019,83.3,0.9738461538461538,Castilla-La Mancha,0.9944444444444444,11.033200103092783,0.7355466735395189,0.8649955589919816,7762548,19888,24290.56510983939,0.8296997524804308,0.8874455796772748
1,Ciudad Real,Ambos sexos,2019,82.92,0.968,Castilla-La Mancha,0.9944444444444444,11.033200103092783,0.7355466735395189,0.8649955589919816,10391326,20771,25369.03297950895,0.8362618020183068,0.8879949548348364
2,Cuenca,Ambos sexos,2019,83.68,0.9796923076923078,Castilla-La Mancha,0.9944444444444444,11.033200103092783,0.7355466735395189,0.8649955589919816,4552502,22639,27650.548246261762,0.8492701626462902,0.8961550312580051
3,Guadalajara,Ambos sexos,2019,84.75,0.9961538461538462,Castilla-La Mancha,0.9944444444444444,11.033200103092783,0.7355466735395189,0.8649955589919816,4846946,18968,23166.90662728447,0.822545271777932,0.8915931052055398
4,Toledo,Ambos sexos,2019,83.83,0.982,Castilla-La Mancha,0.9944444444444444,11.033200103092783,0.7355466735395189,0.8649955589919816,12360668,18022,22011.492578918216,0.8148172431966481,0.8845625030358641
5,Alicante,Ambos sexos,2019,83.19,0.9721538461538461,Comunitat Valenciana,0.9944444444444444,11.629814226804122,0.7753209484536081,0.8848826964490262,35061866,19066,23286.600683034885,0.8233237065697405,0.8913818235386453
6,Castellon,Ambos sexos,2019,82.73,0.9650769230769232,Comunitat Valenciana,0.9944444444444444,11.629814226804122,0.7753209484536081,0.8848826964490262,14980861,22882,27947.34064980616,0.850882908034068,0.8990264679519924
7,Valencia,Ambos sexos,2019,82.88,0.9673846153846153,Comunitat Valenciana,0.9944444444444444,11.629814226804122,0.7753209484536081,0.8848826964490262,57719399,22882,27947.34064980616,0.850882908034068,0.8997424816888286
8,Almeria,Ambos sexos,2019,82.06,0.9547692307692308,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,14340076,20465,24995.294397267855,0.8340198822257937,0.8829782993505159
9,Cadiz,Ambos sexos,2019,81.79,0.9506153846153848,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,21512851,17231,21045.39055750415,0.808037386652523,0.8724432535654385
10,Cordoba,Ambos sexos,2019,82.75,0.9653846153846154,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,14152384,17964,21940.653239800624,0.8143303182810485,0.8792089154022434
11,Granada,Ambos sexos,2019,82.49,0.9613846153846153,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,16399616,17894,21855.157485693184,0.8137405522802379,0.8777809132083664
12,Huelva,Ambos sexos,2019,81.87,0.9518461538461539,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,10006993,19185,23431.943465017535,0.82426358735858,0.8786232988234404
13,Jaen,Ambos sexos,2019,82.23,0.9573846153846155,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,11159995,17465,21331.19064980616,0.8100749458572349,0.8752436574607123
14,Malaga,Ambos sexos,2019,82.62,0.9633846153846155,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,29675853,18036,22028.591729739703,0.8149345420122,0.8788185897177156
15,Sevilla,Ambos sexos,2019,82.02,0.9541538461538461,Andalucia,0.9944444444444444,11.018946907216495,0.7345964604810997,0.8645204524627721,38215042,19665,24018.200064611403,0.827996428584638,0.880658193981647
16,Alava,Ambos sexos,2019,84.79,0.9967692307692309,Pais Vasco,0.9944444444444444,12.824378041237111,0.8549585360824741,0.9247014902634592,11983377,36694,44816.874303119796,0.9222208923651041,0.9472771158887248
17,Bizkaia,Ambos sexos,2019,83.61,0.9786153846153846,Pais Vasco,0.9944444444444444,12.824378041237111,0.8549585360824741,0.9247014902634592,35045965,30519,37274.92742292781,0.8943867872535415,0.9319221990996509
18,Gipuzkoa,Ambos sexos,2019,84.15,0.986923076923077,Pais Vasco,0.9944444444444444,12.824378041237111,0.8549585360824741,0.9247014902634592,22694543,31551,38535.37911205464,0.8994102730502658,0.9362983005860326
19,Asturias,Ambos sexos,2019,82.82,0.9664615384615384,Principado de Asturias,0.9944444444444444,12.182960515463918,0.8121973676975945,0.9033209060710194,22639845,21981,26846.888157651832,0.8448146773394,0.9035025080110114
20,Avila,Ambos sexos,2019,84.02,0.9849230769230769,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,3138951,19532,23855.758131807266,0.8269713251646841,0.8986450843995216
21,Burgos,Ambos sexos,2019,84.49,0.992153846153846,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,9972671,27843,34006.54688019198,0.880524727222569,0.9198792179244286
22,Leon,Ambos sexos,2019,83.6,0.9784615384615384,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,9575557,20446,24972.088406867268,0.8338795747729053,0.8991655241515715
23,Palencia,Ambos sexos,2019,83.19,0.9721538461538461,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,4137425,25322,30927.478364408336,0.8661883290858109,0.9086704197616223
24,Salamanca,Ambos sexos,2019,84.62,0.9941538461538463,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,6905532,20699,25281.09448956987,0.8357372771286284,0.9046176812148562
25,Segovia,Ambos sexos,2019,84.71,0.9955384615384615,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,3464392,22469,27442.915700572266,0.8481315798710058,0.9094895377320236
26,Soria,Ambos sexos,2019,84.53,0.9927692307692307,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,2292878,24665,30125.039643714226,0.862217323389616,0.9136481222196663
27,Valladolid,Ambos sexos,2019,84.71,0.9955384615384615,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,13279457,25482,31122.897230939627,0.8671397894797707,0.9162338536017203
28,Zamora,Ambos sexos,2019,83.46,0.9763076923076922,Castilla y Leon,0.9944444444444444,11.812972731958762,0.7875315154639175,0.8909879799541809,3480217,19617,23959.57440465202,0.8276272682203517,0.896254018270399
29,Badajoz,Ambos sexos,2019,82.36,0.9593846153846154,Extremadura,0.9944444444444444,10.808351958762888,0.7205567972508592,0.8575006208476518,11925105,17637,21541.2659313273,0.811555305594007,0.8740073900815559
30,Caceres,Ambos sexos,2019,83.37,0.974923076923077,Extremadura,0.9944444444444444,10.808351958762888,0.7205567972508592,0.8575006208476518,7573765,19077,23300.035730108913,0.8234108320234931,0.8829588349575256
31,Illes Balears,Ambos sexos,2019,83.59,0.9783076923076923,Illes Balears,0.9944444444444444,11.043915876288661,0.736261058419244,0.8653527514318442,31420048,27134,33140.59702787521,0.876628390518497,0.9053740856591858
32,Barcelona,Ambos sexos,2019,84.08,0.9858461538461538,Cataluna,0.9944444444444444,11.758405412371133,0.7838936941580755,0.8891690693012599,163829876,29381,35885.01073472401,0.8886464831257804,0.9201123075718999
33,Girona,Ambos sexos,2019,83.17,0.9718461538461539,Cataluna,0.9944444444444444,11.758405412371133,0.7838936941580755,0.8891690693012599,21429506,28356,34633.10862100793,0.8832825607301195,0.9138898228747266
34,Lleida,Ambos sexos,2019,83.54,0.9775384615384617,Cataluna,0.9944444444444444,11.758405412371133,0.7838936941580755,0.8891690693012599,12435228,28759,35125.31989108362,0.8854142763925749,0.9164066675095797
35,Tarragona,Ambos sexos,2019,83.41,0.9755384615384615,Cataluna,0.9944444444444444,11.758405412371133,0.7838936941580755,0.8891690693012599,23742476,29989,36627.602427542915,0.8917404732058948,0.9179571464609547
36,Cantabria,Ambos sexos,2019,83.59,0.9783076923076923,Cantabria,0.9944444444444444,12.157323144329897,0.8104882096219932,0.9024663270332187,13225911,22767,27806.883339486798,0.8501218203494338,0.9087879210628791
37,A Coruna,Ambos sexos,2019,83.39,0.9752307692307692,Galicia,0.9944444444444444,11.866074896907216,0.7910716597938144,0.8927580521191294,26144519,23343,28510.39125899944,0.8538959529660295,0.9059037180260208
38,Lugo,Ambos sexos,2019,83.71,0.980153846153846,Galicia,0.9944444444444444,11.866074896907216,0.7910716597938144,0.8927580521191294,7661522,23049,28151.309091748197,0.8519813565025353,0.9067468146430567
39,Ourense,Ambos sexos,2019,83.57,0.9779999999999999,Galicia,0.9944444444444444,11.866074896907216,0.7910716597938144,0.8927580521191294,6441121,20781,25381.246658667154,0.8363345088599972,0.900501034178525
40,Pontevedra,Ambos sexos,2019,83.59,0.9783076923076923,Galicia,0.9944444444444444,11.866074896907216,0.7910716597938144,0.8927580521191294,20338727,21612,26396.203396714045,0.8422573449148255,0.9027164371669929
41,Huesca,Ambos sexos,2019,84.15,0.986923076923077,Aragon,0.9944444444444444,11.925817835051545,0.7950545223367697,0.894749483390607,6336201,28839,35223.02932434926,0.8858338904861645,0.9213946452739563
42,Teruel,Ambos sexos,2019,84.24,0.9883076923076922,Aragon,0.9944444444444444,11.925817835051545,0.7950545223367697,0.894749483390607,3343188,24661,30120.154172050945,0.8621928242237868,0.9135507503484095
43,Zaragoza,Ambos sexos,2019,83.81,0.9816923076923078,Aragon,0.9944444444444444,11.925817835051545,0.7950545223367697,0.894749483390607,25996273,27264,33299.37485693187,0.8773503759761612,0.9168183638242088
44,Madrid,Ambos sexos,2019,84.96,0.9993846153846153,Comunidad de Madrid,0.9944444444444444,12.551533402061857,0.8367688934707904,0.9156066689576174,221432620,34028,41560.70743954218,0.9108268282075536,0.9410784034166869
45,Murcia,Ambos sexos,2019,82.7,0.9646153846153847,Region de Murcia,0.9944444444444444,10.972543608247422,0.7315029072164948,0.8629736758304696,30601171,20766,25362.926139929845,0.8362254354699019,0.8862543270072275
46,Navarra,Ambos sexos,2019,84.59,0.9936923076923078,Comunidad Foral de Navarra,0.9944444444444444,12.31310206185567,0.820873470790378,0.9076589576174112,19554577,30400,37129.58464094517,0.8937966378782003,0.9306887141375517
47,Las Palmas,Ambos sexos,2019,82.6,0.9630769230769229,Canarias,0.9944444444444444,11.217275979381442,0.7478183986254295,0.871131421534937,22686079,20221,24697.28062580764,0.8322080530788075,0.8871400579770629
48,Santa Cruz de Tenerife,Ambos sexos,2019,83.01,0.9693846153846155,Canarias,0.9944444444444444,11.217275979381442,0.7478183986254295,0.871131421534937,21564942,20712,25296.972272475534,0.8358321178507768,0.8903613222739435
49,La Rioja,Ambos sexos,2019,83.79,0.9813846153846155,La Rioja,0.9944444444444444,11.831487164948452,0.7887658109965635,0.8916051277205039,8287052,26528,32400.44807088794,0.8732165286847106,0.9142070867987806
50,Ceuta,Ambos sexos,2019,80.73,0.9343076923076924,Ceuta,0.9944444444444444,10.643149123711341,0.7095432749140894,0.8519938596792669,1660550,19537,23861.86497138637,0.8270099889984664,0.869919464188458
51,Melilla,Ambos sexos,2019,80.83,0.9358461538461538,Melilla,0.9944444444444444,10.67229912371134,0.7114866082474227,0.8529655263459335,1520977,17934,21904.01220232601,0.8140778433244289,0.8661649875183287
