Provincias,Sexo,Periodo,Total
Albacete,Ambos sexos,2019,83.3
Alicante,Ambos sexos,2019,83.19
Almeria,Ambos sexos,2019,82.06
Alava,Ambos sexos,2019,84.79
Asturias,Ambos sexos,2019,82.82
Avila,Ambos sexos,2019,84.02
Badajoz,Ambos sexos,2019,82.36
Illes Balears,Ambos sexos,2019,83.59
Barcelona,Ambos sexos,2019,84.08
Bizkaia,Ambos sexos,2019,83.61
Burgos,Ambos sexos,2019,84.49
Caceres,Ambos sexos,2019,83.37
Cadiz,Ambos sexos,2019,81.79
Cantabria,Ambos sexos,2019,83.59
Castellon,Ambos sexos,2019,82.73
Ciudad Real,Ambos sexos,2019,82.92
Cordoba,Ambos sexos,2019,82.75
A Coruna,Ambos sexos,2019,83.39
Cuenca,Ambos sexos,2019,83.68
Gipuzkoa,Ambos sexos,2019,84.15
Girona,Ambos sexos,2019,83.17
Granada,Ambos sexos,2019,82.49
Guadalajara,Ambos sexos,2019,84.75
Huelva,Ambos sexos,2019,81.87
Huesca,Ambos sexos,2019,84.15
Jaen,Ambos sexos,2019,82.23
Leon,Ambos sexos,2019,83.6
Lleida,Ambos sexos,2019,83.54
Lugo,Ambos sexos,2019,83.71
Madrid,Ambos sexos,2019,84.96
Malaga,Ambos sexos,2019,82.62
Murcia,Ambos sexos,2019,82.7
Navarra,Ambos sexos,2019,84.59
Ourense,Ambos sexos,2019,83.57
Palencia,Ambos sexos,2019,83.19
Las Palmas,Ambos sexos,2019,82.6
Pontevedra,Ambos sexos,2019,83.59
La Rioja,Ambos sexos,2019,83.79
Salamanca,Ambos sexos,2019,84.62
Santa Cruz de Tenerife,Ambos sexos,2019,83.01
Segovia,Ambos sexos,2019,84.71
Sevilla,Ambos sexos,2019,82.02
Soria,Ambos sexos,2019,84.53
Tarragona,Ambos sexos,2019,83.41
Teruel,Ambos sexos,2019,84.24
Toledo,Ambos sexos,2019,83.83
Valencia,Ambos sexos,2019,82.88
Valladolid,Ambos sexos,2019,84.71
Zamora,Ambos sexos,2019,83.46
Zaragoza,Ambos sexos,2019,83.81
Ceuta,Ambos sexos,2019,80.73
Melilla,Ambos sexos,2019,80.83
